"division_area","2019","2020","2021","2022","2023","2024"
"ВІННИЦЬКА","8","11","18","26","30","32"
"ВОЛИНСЬКА","4","5","10","15","20","21"
"ДНІПРОПЕТРОВСЬКА","10","14","20","22","30","33"
"ДОНЕЦЬКА","10","9","8","8","2","2"
"ЖИТОМИРСЬКА","20","22","27","29","38","35"
"ЗАКАРПАТСЬКА","26","35","41","49","62","63"
"ЗАПОРІЗЬКА","11","11","14","13","3","3"
"ІВАНО-ФРАНКІВСЬКА","7","11","15","19","31","34"
"КИЇВСЬКА","33","36","42","49","58","64"
"КІРОВОГРАДСЬКА","1","1","2","5","14","11"
"ЛУГАНСЬКА","13","16","17","10",NULL,NULL
"ЛЬВІВСЬКА","16","21","24","23","31","32"
"МИКОЛАЇВСЬКА","6","9","8","5","5","11"
"ОДЕСЬКА","15","21","20","19","26","26"
"ПОЛТАВСЬКА","8","9","14","16","17","19"
"РІВНЕНСЬКА","12","14","22","25","36","44"
"СУМСЬКА","1","2","2","2",NULL,"3"
"ТЕРНОПІЛЬСЬКА","4","7","10","13","14","16"
"ХАРКІВСЬКА","11","10","11","13","12","12"
"ХЕРСОНСЬКА","8","20","19","18","3","5"
"ХМЕЛЬНИЦЬКА","11","17","31","31","38","40"
"ЧЕРКАСЬКА","25","27","29","36","38","38"
"ЧЕРНІВЕЦЬКА","15","23","29","36","49","53"
"ЧЕРНІГІВСЬКА","1","2","3","2","2","2"
